     Angle, Det1Disc1,
     83.15,        50,
      83.2,        57,
     83.25,        44,
      83.3,        25,
     83.35,        26,
      83.4,        25,
     83.45,        30,
      83.5,        22,
     83.55,        18,
      83.6,        12,
     83.65,        10,
      83.7,        15,
     83.75,        14,
      83.8,         7,
     83.85,        15,
      83.9,        16,
     83.95,         7,
        84,        16,
     84.05,        11,
      84.1,        13,
     84.15,         8,
      84.2,        13,
     84.25,        14,
      84.3,        11,
     84.35,        13,
      84.4,        10,
     84.45,        14,
      84.5,        12,
     84.55,        13,
      84.6,        14,
     84.65,        12,
      84.7,         8,
     84.75,         5,
      84.8,        19,
     84.85,        11,
      84.9,         6,
     84.95,        11,
        85,        15,
     85.05,         5,
      85.1,        19,
     85.15,        17,
      85.2,         6,
     85.25,        11,
      85.3,         6,
     85.35,        12,
      85.4,        19,
     85.45,        17,
      85.5,         7,
     85.55,         9,
      85.6,        20,
     85.65,        10,
      85.7,        12,
     85.75,        11,
      85.8,        11,
     85.85,         9,
      85.9,         9,
     85.95,         9,
        86,        12,
     86.05,         7,
      86.1,         8,
     86.15,         9,
      86.2,         6,
     86.25,        15,
      86.3,         7,
     86.35,        13,
      86.4,         9,
     86.45,        13,
      86.5,         8,
     86.55,        12,
      86.6,        11,
     86.65,        20,
      86.7,        12,
     86.75,        15,
      86.8,        16,
     86.85,        10,
      86.9,        10,
     86.95,         8,
        87,        15,
     87.05,         6,
      87.1,        12,
     87.15,         7,
      87.2,        15,
     87.25,         9,
      87.3,        12,
     87.35,         9,
      87.4,        17,
     87.45,         7,
      87.5,        15,
     87.55,        19,
      87.6,        15,
     87.65,        13,
      87.7,        10,
     87.75,         4,
      87.8,        16,
     87.85,        13,
      87.9,        13,
     87.95,        11,
        88,         9,
     88.05,        11,
      88.1,        10,
     88.15,        14,
      88.2,        10,
     88.25,        14,
      88.3,        15,
     88.35,        16,
      88.4,        14,
     88.45,        10,
      88.5,        15,
     88.55,        11,
      88.6,        15,
     88.65,        18,
      88.7,        11,
     88.75,        11,
      88.8,         8,
     88.85,         7,
      88.9,         8,
     88.95,         8,
        89,         9,
     89.05,        17,
      89.1,         9,
     89.15,        13,
      89.2,        11,
     89.25,        17,
      89.3,         6,
     89.35,        12,
      89.4,        10,
     89.45,        15,
      89.5,        11,
     89.55,         9,
      89.6,        13,
     89.65,        13,
      89.7,        14,
     89.75,        14,
      89.8,        12,
     89.85,        11,
      89.9,        10,
     89.95,         7,
        90,        15,
     90.05,         8,
      90.1,        12,
     90.15,        12,
      90.2,        10,
     90.25,        12,
      90.3,        13,
     90.35,         8,
      90.4,        10,
     90.45,        10,
      90.5,         6,
     90.55,        10,
      90.6,         9,
     90.65,         3,
      90.7,         8,
     90.75,        10,
      90.8,        12,
     90.85,        13,
      90.9,        10,
     90.95,         9,
        91,        13,
     91.05,        16,
      91.1,         7,
     91.15,        11,
      91.2,         7,
     91.25,        18,
      91.3,        12,
     91.35,         7,
      91.4,        16,
     91.45,        18,
      91.5,        14,
     91.55,         9,
      91.6,        11,
     91.65,         5,
      91.7,        11,
     91.75,        15,
      91.8,        14,
     91.85,        10,
      91.9,        14,
     91.95,        17,
        92,         9,
     92.05,         8,
      92.1,         8,
     92.15,        13,
      92.2,         9,
     92.25,        15,
      92.3,         5,
     92.35,        12,
      92.4,        13,
     92.45,         9,
      92.5,         8,
     92.55,        12,
      92.6,        12,
     92.65,        14,
      92.7,         7,
     92.75,        12,
      92.8,        11,
     92.85,         8,
      92.9,        14,
     92.95,        12,
        93,        14,
     93.05,        23,
      93.1,        15,
     93.15,        18,
      93.2,        18,
     93.25,        20,
      93.3,        21,
     93.35,        14,
      93.4,        15,
     93.45,        19,
      93.5,        17,
     93.55,        15,
      93.6,        20,
     93.65,        10,
      93.7,        16,
     93.75,         9,
      93.8,         7,
     93.85,        13,
      93.9,        12,
     93.95,        15,
        94,        14,
     94.05,        14,
      94.1,        19,
     94.15,        25,
      94.2,        44,
     94.25,        54,
      94.3,        43,
     94.35,        27,
      94.4,        31,
     94.45,        21,
      94.5,        31,
     94.55,        35,
      94.6,        26,
     94.65,        22,
      94.7,        20,
     94.75,        10,
      94.8,        18,
     94.85,        16,
      94.9,        19,
     94.95,        13,
        95,        12,
