     Angle, Det1Disc1,
      22.9,        31,
     22.95,        35,
        23,        40,
     23.05,        31,
      23.1,        40,
     23.15,        40,
      23.2,        33,
     23.25,        39,
      23.3,        24,
     23.35,        27,
      23.4,        34,
     23.45,        39,
      23.5,        26,
     23.55,        31,
      23.6,        41,
     23.65,        35,
      23.7,        43,
     23.75,        49,
      23.8,        37,
     23.85,        39,
      23.9,        29,
     23.95,        44,
        24,        33,
     24.05,        30,
      24.1,        35,
     24.15,        36,
      24.2,        37,
     24.25,        33,
      24.3,        46,
     24.35,        40,
      24.4,        35,
     24.45,        40,
      24.5,        42,
     24.55,        41,
      24.6,        41,
     24.65,        49,
      24.7,        39,
     24.75,        38,
      24.8,        41,
     24.85,        54,
      24.9,        81,
     24.95,        60,
        25,        77,
     25.05,        86,
      25.1,       129,
     25.15,       153,
      25.2,       315,
     25.25,       884,
      25.3,      2117,
     25.35,      2774,
      25.4,      1781,
     25.45,       705,
      25.5,       276,
     25.55,       170,
      25.6,       111,
     25.65,        74,
      25.7,        65,
     25.75,        58,
      25.8,        63,
     25.85,        47,
      25.9,        69,
     25.95,        53,
        26,        44,
     26.05,        40,
      26.1,        40,
     26.15,        42,
      26.2,        32,
     26.25,        39,
      26.3,        27,
     26.35,        40,
      26.4,        35,
     26.45,        27,
      26.5,        34,
     26.55,        45,
      26.6,        45,
     26.65,        36,
      26.7,        37,
     26.75,        40,
      26.8,        37,
     26.85,        33,
      26.9,        48,
     26.95,        44,
        27,        30,
     27.05,        37,
      27.1,        29,
     27.15,        38,
      27.2,        40,
     27.25,        46,
      27.3,        40,
     27.35,        33,
      27.4,        44,
     27.45,        58,
      27.5,        44,
     27.55,        51,
      27.6,        44,
     27.65,        35,
      27.7,        34,
     27.75,        44,
      27.8,        36,
     27.85,        41,
      27.9,        39,
     27.95,        36,
        28,        45,
     28.05,        37,
      28.1,        44,
     28.15,        33,
      28.2,        43,
     28.25,        47,
      28.3,        46,
     28.35,        49,
      28.4,        37,
     28.45,        38,
      28.5,        46,
     28.55,        48,
      28.6,        37,
     28.65,        44,
      28.7,        40,
     28.75,        33,
      28.8,        40,
     28.85,        42,
      28.9,        50,
     28.95,        34,
        29,        55,
     29.05,        43,
      29.1,        39,
     29.15,        41,
      29.2,        39,
     29.25,        36,
      29.3,        39,
     29.35,        32,
      29.4,        34,
     29.45,        33,
      29.5,        44,
     29.55,        47,
      29.6,        36,
     29.65,        37,
      29.7,        44,
     29.75,        38,
      29.8,        40,
     29.85,        39,
      29.9,        46,
     29.95,        36,
        30,        33,
     30.05,        50,
      30.1,        50,
     30.15,        38,
      30.2,        43,
     30.25,        31,
      30.3,        39,
     30.35,        43,
      30.4,        41,
     30.45,        44,
      30.5,        42,
     30.55,        34,
      30.6,        33,
     30.65,        48,
      30.7,        42,
     30.75,        28,
      30.8,        40,
     30.85,        36,
      30.9,        34,
     30.95,        45,
        31,        35,
     31.05,        39,
      31.1,        43,
     31.15,        37,
      31.2,        34,
     31.25,        34,
      31.3,        39,
     31.35,        36,
      31.4,        54,
     31.45,        45,
      31.5,        42,
     31.55,        29,
      31.6,        31,
     31.65,        33,
      31.7,        25,
     31.75,        32,
      31.8,        38,
     31.85,        32,
      31.9,        51,
     31.95,        36,
        32,        45,
     32.05,        33,
      32.1,        35,
     32.15,        36,
      32.2,        44,
     32.25,        31,
      32.3,        26,
     32.35,        45,
      32.4,        30,
     32.45,        43,
      32.5,        40,
     32.55,        50,
      32.6,        27,
     32.65,        43,
      32.7,        37,
     32.75,        25,
      32.8,        40,
     32.85,        45,
      32.9,        38,
     32.95,        25,
        33,        25,
     33.05,        30,
      33.1,        41,
     33.15,        35,
      33.2,        37,
     33.25,        34,
      33.3,        38,
     33.35,        31,
      33.4,        41,
     33.45,        44,
      33.5,        31,
     33.55,        42,
      33.6,        38,
     33.65,        37,
      33.7,        38,
     33.75,        30,
      33.8,        37,
     33.85,        39,
      33.9,        30,
     33.95,        31,
        34,        29,
     34.05,        28,
      34.1,        33,
     34.15,        30,
      34.2,        39,
     34.25,        37,
      34.3,        18,
     34.35,        36,
      34.4,        50,
     34.45,        29,
      34.5,        33,
     34.55,        40,
      34.6,        34,
     34.65,        40,
      34.7,        28,
     34.75,        31,
      34.8,        41,
     34.85,        28,
      34.9,        38,
     34.95,        25,
        35,        44,
     35.05,        24,
      35.1,        21,
     35.15,        17,
      35.2,        26,
     35.25,        40,
      35.3,        32,
     35.35,        19,
      35.4,        31,
     35.45,        31,
      35.5,        30,
     35.55,        29,
      35.6,        29,
     35.65,        31,
      35.7,        37,
     35.75,        31,
      35.8,        26,
     35.85,        29,
      35.9,        25,
     35.95,        30,
        36,        29,
     36.05,        30,
      36.1,        34,
     36.15,        38,
      36.2,        32,
     36.25,        24,
      36.3,        32,
     36.35,        21,
      36.4,        31,
     36.45,        29,
      36.5,        25,
     36.55,        35,
      36.6,        33,
     36.65,        29,
      36.7,        29,
     36.75,        30,
      36.8,        44,
     36.85,        60,
      36.9,        88,
     36.95,       131,
        37,       147,
     37.05,       125,
      37.1,        73,
     37.15,        57,
      37.2,        41,
     37.25,        45,
      37.3,        33,
     37.35,        34,
      37.4,        36,
     37.45,        43,
      37.5,        45,
     37.55,        43,
      37.6,        46,
     37.65,        84,
      37.7,       103,
     37.75,       242,
      37.8,       425,
     37.85,       481,
      37.9,       366,
     37.95,       229,
        38,       126,
     38.05,        77,
      38.1,        44,
     38.15,        40,
      38.2,        40,
     38.25,        39,
      38.3,        37,
     38.35,        38,
      38.4,        40,
     38.45,        46,
      38.5,        54,
     38.55,       120,
      38.6,       168,
     38.65,       150,
      38.7,       111,
     38.75,        80,
      38.8,        44,
     38.85,        45,
      38.9,        35,
     38.95,        25,
        39,        30,
     39.05,        21,
      39.1,        29,
     39.15,        30,
      39.2,        36,
     39.25,        32,
      39.3,        31,
     39.35,        27,
      39.4,        28,
     39.45,        29,
      39.5,        22,
     39.55,        22,
      39.6,        25,
     39.65,        25,
      39.7,        23,
     39.75,        27,
      39.8,        30,
     39.85,        24,
      39.9,        30,
     39.95,        23,
        40,        25,
     40.05,        21,
      40.1,        22,
     40.15,        34,
      40.2,        16,
     40.25,        30,
      40.3,        34,
     40.35,        26,
      40.4,        28,
     40.45,        24,
      40.5,        35,
     40.55,        24,
      40.6,        29,
     40.65,        29,
      40.7,        23,
     40.75,        27,
      40.8,        31,
     40.85,        24,
      40.9,        16,
     40.95,        44,
        41,        19,
     41.05,        25,
      41.1,        25,
     41.15,        26,
      41.2,        29,
     41.25,        25,
      41.3,        28,
     41.35,        26,
      41.4,        25,
     41.45,        26,
      41.5,        41,
     41.55,        26,
      41.6,        27,
     41.65,        30,
      41.7,        34,
     41.75,        22,
      41.8,        25,
     41.85,        22,
      41.9,        31,
     41.95,        30,
        42,        32,
     42.05,        30,
      42.1,        37,
     42.15,        15,
      42.2,        28,
     42.25,        39,
      42.3,        33,
     42.35,        29,
      42.4,        28,
     42.45,        28,
      42.5,        22,
     42.55,        22,
      42.6,        26,
     42.65,        33,
      42.7,        18,
     42.75,        29,
      42.8,        28,
